"word","phonetic","definition"
"呼ぶ","よぶ","to call (one's name); to invite｜中文：呼叫、邀请｜例句：名前を呼ぶ。"
"読む","よむ","to read｜中文：阅读｜例句：本を読む。"
"夜","よる","evening, night｜中文：夜晚｜例句：夜は静か。"
"弱い","よわい","weak｜中文：虚弱、薄弱｜例句：体が弱い。"
"来月","らいげつ","next month｜中文：下个月｜例句：来月故郷へ。"
"来週","らいしゅう","next week｜中文：下周｜例句：来週パーティー。"
"来年","らいねん","next year｜中文：明年｜例句：来年留学。"
"ラジオ","ラジオ","radio｜中文：收音机｜例句：ラジオを聞く。"
"ラジオカセ","ラジオカセ","radio cassette player｜中文：卡式收录机｜例句：昔ラジオカセを使った。"
"りっぱ","りっぱ","splendid, fine｜中文：气派、优秀｜例句：りっぱな建物。"
"留学生","りゅうがくせい","international student｜中文：留学生｜例句：日本の留学生。"
"両親","りょうしん","parents (lit., both parents)｜中文：父母双亲｜例句：両親と住む。"
"料理","りょうり","cooking; cuisine｜中文：料理、做菜｜例句：日本料理。"
"旅行","りょこう","travel, trip｜中文：旅行｜例句：夏旅行に行く。"
"零","れい","zero, nought｜中文：零｜例句：零円。"
"冷蔵庫","れいぞうこ","refrigerator｜中文：冰箱｜例句：冷蔵庫に牛乳。"
"レコード","レコード","record｜中文：唱片｜例句：レコードを聴く。"
"レストラン","レストラン","restaurant｜中文：餐厅｜例句：レストランで食事。"
"練習","れんしゅう (する)","(to) practice｜中文：练习｜例句：単語を練習。"
"廊下","ろうか","corridor｜中文：走廊｜例句：廊下を歩く。"
"六","ろく","six｜中文：六｜例句：六人の友達。"
"ワイシャツ","ワイシャツ","shirt (lit: white shirt), business shirt｜中文：衬衫｜例句：ワイシャツを着る。"
"若い","わかい","young｜中文：年轻｜例句：若い学生。"
"分かる","わかる","to understand｜中文：明白、懂｜例句：日本語が分かる。"
"忘れる","わすれる","to forget｜中文：忘记｜例句：鍵を忘れた。"
"私","わたし","I, myself｜中文：我（普通）｜例句：私は学生です。"
"私","わたくし","I (formal), myself, private affairs｜中文：我（郑重）｜例句：わたくしは田中と申す。"
"渡す","わたす","to hand (something) over (v.t.); to get across｜中文：递、转交｜例句：本を友達に渡す。"
"渡る","わたる","to cross over, to go across｜中文：横渡｜例句：川を渡る。"
"悪い","わるい","bad, sinful; inferior｜中文：坏、不好｜例句：悪い天気。"
